epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.9453125,0.4109697639942169
0,99,,0.90625,0.47047191858291626
0,149,,0.90625,0.4816170930862427
0,199,,0.9140625,0.49006348848342896
0,249,,0.890625,0.5089539289474487
0,299,,0.921875,0.5010307431221008
0,349,,0.90625,0.5327909588813782
0,390,0.9317200183868408,,
1,399,,0.953125,0.4201216399669647
1,449,,0.9375,0.45992034673690796
1,499,,0.96875,0.3887281119823456
1,549,,0.9140625,0.4717353582382202
1,599,,0.9609375,0.3825181722640991
1,649,,0.96875,0.3860466480255127
1,699,,0.984375,0.3541131317615509
1,749,,0.9765625,0.34342625737190247
1,781,0.950760006904602,,
