epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.9453125,0.37271517515182495
0,99,,0.9296875,0.47647497057914734
0,149,,0.953125,0.43997254967689514
0,199,,0.9453125,0.38763535022735596
0,249,,0.9296875,0.4708586037158966
0,299,,0.9296875,0.4623076021671295
0,349,,0.9375,0.40877416729927063
0,390,0.9376800060272217,,
1,399,,0.9609375,0.4450101852416992
1,449,,0.921875,0.48126065731048584
1,499,,0.9140625,0.45880013704299927
1,549,,0.984375,0.3361532688140869
1,599,,0.9296875,0.4433446228504181
1,649,,0.953125,0.36009085178375244
1,699,,0.953125,0.4221317768096924
1,749,,0.96875,0.36735716462135315
1,781,0.9548400044441223,,
