epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.9375,0.44617146253585815
0,99,,0.9765625,0.343029648065567
0,149,,0.9296875,0.41671308875083923
0,199,,0.921875,0.43992120027542114
0,249,,0.9140625,0.465290367603302
0,299,,0.9140625,0.5346333384513855
0,349,,0.9296875,0.49393877387046814
0,390,0.9439200162887573,,
1,399,,0.9765625,0.3436264097690582
1,449,,0.9609375,0.4037328362464905
1,499,,0.96875,0.3611796796321869
1,549,,0.9765625,0.35276854038238525
1,599,,0.9453125,0.4173053205013275
1,649,,0.953125,0.41713935136795044
1,699,,0.953125,0.38735994696617126
1,749,,0.9765625,0.39442411065101624
1,781,0.9587600231170654,,
