epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.9453125,0.41657909750938416
0,99,,0.953125,0.4056357741355896
0,149,,0.984375,0.36337506771087646
0,199,,0.984375,0.3395078480243683
0,249,,0.9453125,0.378174364566803
0,299,,0.953125,0.38987278938293457
0,349,,0.9765625,0.34845393896102905
0,390,0.9589400291442871,,
1,399,,0.953125,0.41681793332099915
1,449,,0.9609375,0.3647736608982086
1,499,,0.9609375,0.3849847912788391
1,549,,0.9609375,0.36649954319000244
1,599,,0.9609375,0.3750525116920471
1,649,,0.9453125,0.39461085200309753
1,699,,0.9765625,0.35164690017700195
1,749,,0.9765625,0.3674275577068329
1,781,0.9647600054740906,,
