epoch,step,train_acc,train_loss
0,49,0.21875,2.366575002670288
0,99,0.15625,2.3710293769836426
0,149,0.0625,2.4293694496154785
0,199,0.1875,2.252254009246826
0,249,0.1875,2.2813358306884766
0,299,0.375,1.978193759918213
0,349,0.3125,2.1194865703582764
0,399,0.1875,2.3536643981933594
0,449,0.4375,1.9474833011627197
0,499,0.3125,2.0996310710906982
0,549,0.21875,2.227867364883423
0,599,0.28125,1.9857319593429565
0,649,0.25,1.9821131229400635
0,699,0.28125,2.1684627532958984
0,749,0.34375,1.9457061290740967
0,799,0.15625,2.174030065536499
0,849,0.3125,1.946968913078308
0,899,0.1875,2.301767349243164
0,949,0.375,1.915548324584961
0,999,0.34375,1.7874592542648315
0,1049,0.40625,1.7543516159057617
0,1099,0.34375,2.0801165103912354
0,1149,0.375,1.777080774307251
