epoch,step,train_acc_epoch,train_acc_step,train_loss
0,49,,0.890625,0.5910061597824097
0,99,,0.8125,0.7287811636924744
0,149,,0.859375,0.6864734292030334
0,199,,0.828125,0.7276286482810974
0,249,,0.8671875,0.6122537851333618
0,299,,0.828125,0.7254457473754883
0,349,,0.8125,0.7885842323303223
0,390,0.8445799946784973,,
1,399,,0.90625,0.5666584968566895
1,449,,0.875,0.5717194080352783
1,499,,0.890625,0.6180925965309143
1,549,,0.875,0.5332111716270447
1,599,,0.8671875,0.5928587913513184
1,649,,0.8984375,0.5569129586219788
1,699,,0.921875,0.511849582195282
1,749,,0.90625,0.4988369047641754
1,781,0.9017999768257141,,
